Date,GSCPI
31-Jul-2010,-0.038155748328312616
31-Aug-2010,0.3095942751486658
30-Sep-2010,0.37449051880743955
31-Oct-2010,0.6793598812663341
30-Nov-2010,0.4542473521528938
31-Dec-2010,0.7043442977544538
31-Jan-2011,0.7752132107782564
28-Feb-2011,0.3698705062601821
31-Mar-2011,0.7436637138056701
30-Apr-2011,1.6276266695737929
31-May-2011,0.942011779155027
30-Jun-2011,0.20012445080836805
31-Jul-2011,0.28859576347294924
31-Aug-2011,-0.10008994336930967
30-Sep-2011,-0.5510564303933898
31-Oct-2011,-0.3761795922411247
30-Nov-2011,0.1419605477947562
31-Dec-2011,-0.038131032845543415
31-Jan-2012,0.38877098631333445
29-Feb-2012,0.0156412883839999
31-Mar-2012,-0.3626888978356447
30-Apr-2012,-0.32215343827373916
31-May-2012,-0.6695656745942754
30-Jun-2012,-0.702294811521381
31-Jul-2012,-0.6855143711168642
31-Aug-2012,-0.1354696389761578
30-Sep-2012,-0.25992012813415943
31-Oct-2012,-0.003826814146078108
30-Nov-2012,-0.3514138779789284
31-Dec-2012,-0.1480138011368834
31-Jan-2013,-0.04824217917707136
28-Feb-2013,-0.3735139772968562
31-Mar-2013,-0.5402244890769166
30-Apr-2013,-0.7294315637413257
31-May-2013,-0.8652826217641605
30-Jun-2013,-0.665974844369456
31-Jul-2013,-0.655000418277665
31-Aug-2013,-0.5669230318290409
30-Sep-2013,-0.2821080666323612
31-Oct-2013,-0.18409704082839362
30-Nov-2013,-0.6935900589049586
31-Dec-2013,-0.4955594256204687
31-Jan-2014,-0.6357817590449478
28-Feb-2014,-0.28357614271391474
31-Mar-2014,-0.6235674253961776
30-Apr-2014,-0.8232964823138023
31-May-2014,-0.8340974765368819
30-Jun-2014,-0.6959172693599226
31-Jul-2014,-0.8214676518504783
31-Aug-2014,-0.6270414452350217
30-Sep-2014,-0.8186771827885067
31-Oct-2014,-0.5961458172402331
30-Nov-2014,-0.9761691585772284
31-Dec-2014,-0.39767303042424634
31-Jan-2015,-0.5116717609947261
28-Feb-2015,-0.32399188491507935
31-Mar-2015,-0.3876185031761477
30-Apr-2015,-0.3582812407252648
31-May-2015,-0.5527244805195275
30-Jun-2015,-0.8734784144278743
31-Jul-2015,-0.414816709832867
31-Aug-2015,-0.6865622193601661
30-Sep-2015,-0.399141437560272
31-Oct-2015,-0.24470782993473925
30-Nov-2015,-0.6451901451011413
31-Dec-2015,-0.6033113082796154
31-Jan-2016,-0.8008860244397015
29-Feb-2016,-0.7547165556777342
31-Mar-2016,-0.6573826507218029
30-Apr-2016,-0.27502833657037107
31-May-2016,-0.7132516951736249
30-Jun-2016,-0.289013695514344
31-Jul-2016,-0.17080553682677646
31-Aug-2016,0.09072447718831742
30-Sep-2016,-0.29392454912662286
31-Oct-2016,-0.057645021898736125
30-Nov-2016,-0.3096276315355391
31-Dec-2016,-0.22154447201814678
31-Jan-2017,0.16912058236156174
28-Feb-2017,0.14985112663672945
31-Mar-2017,0.07974019347784335
30-Apr-2017,0.013319925453796977
31-May-2017,-0.1423576985953451
30-Jun-2017,0.08972030270948715
31-Jul-2017,0.09382858231282074
31-Aug-2017,0.3951716705285803
30-Sep-2017,0.5568160218216144
31-Oct-2017,0.7968298391637002
30-Nov-2017,0.816022396548774
31-Dec-2017,0.6895875295621257
31-Jan-2018,0.5934413376647469
28-Feb-2018,0.06439536300196103
31-Mar-2018,0.43997857590198536
30-Apr-2018,0.5197592600352616
31-May-2018,0.3813440112100352
30-Jun-2018,0.43724580294644966
31-Jul-2018,0.4463428326209913
31-Aug-2018,0.5359397764433794
30-Sep-2018,0.46847676888746626
31-Oct-2018,0.5339246187681743
30-Nov-2018,0.4569789930110894
31-Dec-2018,0.46618222595709957
31-Jan-2019,0.5176710434610217
28-Feb-2019,0.1455120526316433
31-Mar-2019,0.2159723300073301
30-Apr-2019,0.01796122213760986
31-May-2019,-0.6209493343396404
30-Jun-2019,-0.4703344168711041
31-Jul-2019,-0.4482232694997587
31-Aug-2019,-0.28814945717740553
30-Sep-2019,0.13457190635518612
31-Oct-2019,0.09102320465383414
30-Nov-2019,0.153681654355693
31-Dec-2019,0.04339341382665933
31-Jan-2020,0.06088474881154432
29-Feb-2020,1.3106860938869027
31-Mar-2020,2.6715181206256986
30-Apr-2020,3.3803138987601153
31-May-2020,2.5671178443854386
30-Jun-2020,2.265554454366861
31-Jul-2020,2.9740141551952997
31-Aug-2020,1.489603772807268
30-Sep-2020,0.6311897218767284
31-Oct-2020,0.11462600177937504
30-Nov-2020,0.781742308597677
31-Dec-2020,1.7221557283244227
31-Jan-2021,1.3750952549558078
28-Feb-2021,2.0052617255506835
31-Mar-2021,2.3315483476092407
30-Apr-2021,2.8236854522883132
31-May-2021,3.1045126053925336
30-Jun-2021,2.8283323945924708
31-Jul-2021,3.0085315073143057
31-Aug-2021,3.384010537675192
30-Sep-2021,3.454132878809238
31-Oct-2021,4.002328998882402
30-Nov-2021,4.405854333638293
31-Dec-2021,4.484486185085045
31-Jan-2022,3.772670540204407
28-Feb-2022,2.847607837151893
31-Mar-2022,2.9022657813916783
30-Apr-2022,3.5976318733604256
31-May-2022,2.799004290770525
30-Jun-2022,2.463728541847812
31-Jul-2022,1.8615918954599722
31-Aug-2022,1.5406963991295524
30-Sep-2022,1.0447247220649665
31-Oct-2022,1.1500995065991824
30-Nov-2022,1.2764877955475322
31-Dec-2022,1.3487873457295982
31-Jan-2023,1.0864967578747442
28-Feb-2023,-0.22179399895649757
31-Mar-2023,-1.1645111495206057
30-Apr-2023,-1.3087777672037404
31-May-2023,-1.5884140832492517
30-Jun-2023,-1.1170218542118622
31-Jul-2023,-0.9448981210010778
31-Aug-2023,-1.0745124657019398
30-Sep-2023,-0.6578442223177703
31-Oct-2023,-0.37236872494802165
30-Nov-2023,0.16548782190954878
31-Dec-2023,-0.16256368125206555
31-Jan-2024,-0.33844325339810305
29-Feb-2024,-0.18991522518124412
31-Mar-2024,-0.3511338521512765
30-Apr-2024,-0.9566948573362746
31-May-2024,-0.5818250363430836
30-Jun-2024,-0.347354259426421
31-Jul-2024,-0.04292550028149605
31-Aug-2024,0.2118698715930385
30-Sep-2024,0.10644131687034471
31-Oct-2024,-0.3472724269657473
30-Nov-2024,-0.27891756716144805
31-Dec-2024,-0.2597728254124314
31-Jan-2025,-0.17753749201280705
28-Feb-2025,0.0020953615214115676
31-Mar-2025,-0.18098567373593408
30-Apr-2025,-0.2449697997948744
31-May-2025,0.27833021443874456
30-Jun-2025,0.08517081594813035
31-Jul-2025,0.025331926519054738
31-Aug-2025,-0.08363413311038037
30-Sep-2025,-0.02156039977225004
31-Oct-2025,-0.08045757168648779
30-Nov-2025,-0.15538774783683265
31-Dec-2025,0.543267801110933
31-Jan-2026,0.41147747569247506
